stop_id,level_id,stop_name,stop_lat,stop_lon,location_type,parent_station
UVIVXUaJ, ,Karayanchavadi, 13.046284566063308, 80.11203057470175, 0,
uSSdkohC, ,Mothers School, 12.9309106986229, 80.2127095205272, 0,
ImzsRlsp, ,Gemini Sun Plaza, 13.04985423789816, 80.24808969756305, 0,
HFyvKJXO, ,Vembakkam, 12.772768100524162, 79.95498307844616, 0,
MYykhlgR, ,Madhavaram Rountana, 13.143903657987146, 80.21960721563528, 0,
fAHeYbsJ, ,Thozuvur, 13.132238795076564, 79.95871512985957, 0,
ZikMDjVp, ,South Mada Street, 13.124287297013725, 80.21580217427368, 0,
tNjBpHdR, ,Kumaran Kundram, 12.941875691365636, 80.14301397049303, 0,
dZoxKDmD, ,Sekkadu, 13.119261962312038, 80.07960858809611, 0,
WWGVlxtV, ,Big Street, 13.05878688074321, 80.27562610156394, 0,
FDCDnriY, ,Perambur Church, 13.108857500545144, 80.24175116795834, 0,
zMSEqitx, ,Nokia, 12.94913617950734, 79.93863069431268, 0,
oDkstDuF, ,Pillaiyar Kovil, 12.935133412677022, 80.21439103939439, 0,
PPVzBzNQ, ,Indira Nagar, 12.995657593841068, 80.15171354619368, 0,
RJIismTM, ,Natesan Nagar, 12.823341479302513, 80.08141976610705, 0,
LJLjKFnn, ,Central Wall Tax Road, 13.083573161542008, 80.27601947943333, 0,
ODVCvUnB, ,Babu Nagar Medavakkam, 12.912462875407233, 80.19182188133414, 0,
UhAwQaaX, ,JB Estate, 13.111530277127752, 80.10860694290795, 0,
VXiNciom, ,Ayapakkam Tnhb Bus Terminus, 13.114835244598453, 80.13160949264241, 0,
WZCBsdQA, ,Veppur, 11.531548830711111, 79.12362492700099, 0,
xuEvBBdE, ,Murugappa Nagar, 13.183738564306497, 80.30108189676878, 0,
hpTqguAr, ,Vivekanantha Nagar Church, 12.958649158303302, 80.067747317791, 0,
IURTQlCB, ,Madhavaram Post Box, 13.142364144338476, 80.23681969530821, 0,
QbczaITx, ,Gemini Sun Plaza, 13.049436820671257, 80.24969969352424, 0,
myLzZQdt, ,Pozhichalur, 12.989572893203077, 80.1437620412421, 0,
QewuHWYk, ,Kallikuppam, 13.132059569884227, 80.17183159839908, 0,
EllpaOUu, ,Therasapuram, 12.916745729580686, 79.93263483942133, 0,
JtZjSNXW, ,Nappalayam, 13.218249725196301, 80.27282416160892, 0,
tNQgpOjd, ,Ramakrishna Nagar, 12.87356768016127, 80.19190022466796, 0,
DewKhksr, ,UCO Bank, 13.103145519218762, 80.18620186872613, 0,
iWUiEObr, ,VGP Golden Beach, 12.913931847130048, 80.25011616209417, 0,
xzbhGFLT, ,Sanatorium, 12.942447697707, 80.13312405280506, 0,
avbDVyxh, ,Pathuvanchery Koil, 12.886895820097449, 80.14885319291352, 0,
yHiwenGE, ,Adyar Viver Bridge, 12.991881960973645, 80.12836204110452, 0,
nGRNUPgX, ,MGR Salai Nungambakkam or Plam Grove, 13.053177726542065, 80.24805400113314, 0,
FhTsxOaf, ,Neyveli Township, 11.606311261009635, 79.50750725529481, 0,
DfkSTwIz, ,T Palur, 11.094600873006529, 79.36972463004207, 0,
DzkWADkh, ,Madhavaram Bus Depot, 13.132365607900088, 80.2368966773438, 0,
MYbthZks, ,Saint Thomas Mount, 13.007365346653355, 80.19873976963473, 0,
FMHUWOWS, ,Mittanamalli High School, 13.155647659238731, 80.07692027292835, 0,
KsXGlqva, ,Kalaignar Nagar West, 13.038773992661751, 80.18399500990927, 0,
